NDB_No,Shrt_Desc,Protein,Lipid_Tot,Carbohydrt,Fiber_TD,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vit_C,Thiamin,Riboflavin,Niacin,Panto_Acid,Vit_B6,Folate_Tot,Choline_Tot,Vit_B12,Vit_A,Vit_E,Vit_D,Vit_K,FA_Sat
8643,"CEREALS RTE,GENERAL MILLS,HONEY KIX",11.42857143,5,63.84615385,21.84210526,45.5,477.5,12.25,26,6.235294118,38.8,165.4545455,13.33333333,0,23.81818182,30.33333333,190.8333333,176.1538462,132.5,0,209.2307692,212.25,2.981818182,266.6666667,96.44444444,0,30,0.166666667,2.743589744
8647,"CEREALS RTE,KASHI INDIGO MORNING",13.75,4.358974359,63.69230769,18.68421053,0,32.5,26.5,36.57142857,8.5,31.46666667,16.36363636,0,0,0,4.444444444,26.66666667,13.07692308,18.75,0,40,5.75,0,0,0,4.466666667,0,0,3.076923077
8648,"CEREALS RTE,KASHI SIMPLY MAIZE",13.92857143,4.358974359,64.07692308,16.05263158,0,32.5,26.25,37,7.470588235,27.66666667,16.36363636,0,0,0,0,26.66666667,13.07692308,18.75,0,40,4,0,0,0,0,0,0,3.076923077
8649,"CEREALS RTE,KASHI GOLEAN CRISP CINN CRUMBLE",39.46428571,10.5,48.14615385,44.21052632,13.5,57.375,18.25,32.57142857,15.11764706,16.4,5.454545455,0,0,0,1.111111111,9.166666667,2.307692308,1.25,0,0,0,0,0,0,0,0,0,6.615384615
8651,"CEREALS RTE,GENERAL MILLS,FIBER ONE 80 CAL,HONEY SQUARES",8.571428571,3.320512821,65.53076923,101.3157895,100,187.5,13.25,47.57142857,6.735294118,28.33333333,113.6363636,0,0,0,22.22222222,107.5,106.9230769,104.375,0,127.6923077,83.25,0,208.3333333,0,0,22,0,2.051282051
8652,"CEREALS RTE,KELLOGG'S KRAVE CHOC CRL",12.5,14.23076923,58.53846154,26.05263158,6.1,181.25,10,14.57142857,6.529411765,21.33333333,45.45454545,0,0,0,53.33333333,100.8333333,86.92307692,100.625,0,123.8461538,66.75,0,200,0,0,22,0,12.82051282
8653,"CEREALS RTE,KELLOGG'S RICE KRISPIES,GLUTEN FREE",13.92857143,2.948717949,63.38461538,7.105263158,1,375,37.25,41.71428571,8.235294118,40.93333333,19.09090909,0,0,0,55.55555556,104.1666667,109.2307692,104.375,0,128.4615385,166.75,0,208.3333333,0,75,33.33333333,0,2.564102564
8655,"CEREALS RTE,POST,HONEY BUNCHES OF OATS,PECAN BUNCHES",12.5,6.923076923,63.07692308,13.68421053,1.9,193.75,9,20,5.205882353,32.2,9.090909091,15.55555556,0,31.45454545,0.222222222,108.3333333,115.3846154,107.5,0,130.7692308,172.5,3.381818182,216.6666667,83.11111111,3.333333333,22.66666667,1.166666667,3.58974359
8656,"CEREALS RTE,NATURE'S PATH,ORGANIC FLAX PLUS FLAKES",21.26785714,7,57.9,43.68421053,5.5,73.625,7,65.71428571,14.73529412,30.53333333,2.818181818,10,7.826086957,3.272727273,0,10.83333333,0.769230769,1.375,1.4,2.307692308,1.5,1.036363636,0,0,8.466666667,0,0.25,3.179487179
8657,"CEREALS RTE,BARBARA'S PUFFINS,ORIGINAL",13.23214286,4.743589744,64.61538462,48.68421053,7,16.625,26.75,18,9.264705882,46.93333333,11.63636364,33.44444444,0,30.36363636,61.77777778,9.25,5.230769231,11.875,0,18.69230769,4.75,2.709090909,0,0,5.933333333,0,0.583333333,0
8658,"CEREALS RTE,KELLOGG'S KRAVE DOUBLE CHOC CRL",12.67857143,14.35897436,58.38461538,27.89473684,6.7,187.5,12,16,8.088235294,21.33333333,45.45454545,0,0,0,55.55555556,104.1666667,86.92307692,104.375,0,128.4615385,66.75,0,208.3333333,0,4.466666667,22,0,13.33333333
8659,"CEREALS RTE,KELLOGG'S FRSTD FLAKES,CHOCO ZUCARITAS",9.107142857,4.487179487,65.46153846,3.684210526,0.7,187.5,9,11,5.264705882,34.33333333,7.272727273,0,0,0,22.22222222,104.1666667,109.2307692,104.375,0,128.4615385,83.25,0,208.3333333,0,0,22,0,13.33333333
8660,"CEREALS RTE,KELLOGG'S APPL JACKS W/ MARSHMALLOWS",7.678571429,3.58974359,68.92307692,19.47368421,1,201.25,5.75,8.714285714,2.647058824,25.4,49.09090909,0,0,0,60,111.6666667,116.9230769,111.875,0,137.6923077,89.25,0,225,0,0,24,0,7.692307692
